huyen,xa,thon,cap
Thành phố Huế,Phường Đông Ba,Tổ dân phố 9,1
Thành phố Huế,Phường Đông Ba,Tổ dân phố 13,1
Thành phố Huế,Phường Đông Ba,Tổ dân phố 14,1
Thành phố Huế,Phường Đông Ba,Tổ dân phố 2,2
Thành phố Huế,Phường Đông Ba,Tổ dân phố 4,2
Thành phố Huế,Phường Đông Ba,Tổ dân phố 8,2
Thành phố Huế,Phường Đông Ba,Tổ dân phố 1,3
Thành phố Huế,Phường Đông Ba,Tổ dân phố 3,3
Thành phố Huế,Phường Đông Ba,Tổ dân phố 6,3
Thành phố Huế,Phường Đông Ba,Tổ dân phố 7,3
Thành phố Huế,Phường Đông Ba,Tổ dân phố 10,3
Thành phố Huế,Phường Đông Ba,Tổ dân phố 11,3
Thành phố Huế,Phường Đông Ba,Tổ dân phố 12,3
Thành phố Huế,Phường Gia Hội,Tổ dân phố 3,1
Thành phố Huế,Phường Gia Hội,Tổ dân phố 5,1
Thành phố Huế,Phường Gia Hội,Tổ dân phố 1,2
Thành phố Huế,Phường Gia Hội,Tổ dân phố 15,2
Thành phố Huế,Phường Gia Hội,Tổ dân phố 2,3
Thành phố Huế,Phường Gia Hội,Tổ dân phố 4,3
Thành phố Huế,Phường Gia Hội,Tổ dân phố 6,3
Thành phố Huế,Phường Gia Hội,Tổ dân phố 7,3
Thành phố Huế,Phường Gia Hội,Tổ dân phố 8,3
Thành phố Huế,Phường Gia Hội,Tổ dân phố 9,3
Thành phố Huế,Phường Gia Hội,Tổ dân phố 10,3
Thành phố Huế,Phường Gia Hội,Tổ dân phố 11,3
Thành phố Huế,Phường Gia Hội,Tổ dân phố 12,3
Thành phố Huế,Phường Gia Hội,Tổ dân phố 13,3
Thành phố Huế,Phường Gia Hội,Tổ dân phố 14,3
Thành phố Huế,Phường Gia Hội,Tổ dân phố 16,3
Thành phố Huế,Phường Gia Hội,Tổ dân phố 17,3
Thành phố Huế,Phường Gia Hội,Tổ dân phố 18,3
Thành phố Huế,Phường Hương An,Tổ dân phố An Lưu,1
Thành phố Huế,Phường Hương An,Tổ dân phố An Vân,1
Thành phố Huế,Phường Hương An,Tổ dân phố Bồn Phổ,1
Thành phố Huế,Phường Hương An,Tổ dân phố An Hoà,2
Thành phố Huế,Phường Hương An,Tổ dân phố Bồn trì,2
Thành phố Huế,Phường Hương An,Tổ dân phố Cổ Bưu,3
Thành phố Huế,Phường Hương An,Tổ dân phố Thanh Chữ,3
Thành phố Huế,Phường Hương Long,Tổ dân phố 3,1
Thành phố Huế,Phường Hương Long,Tổ dân phố 1,2
Thành phố Huế,Phường Hương Long,Tổ dân phố 5,2
Thành phố Huế,Phường Hương Long,Tổ dân phố 2,3
Thành phố Huế,Phường Hương Long,Tổ dân phố 4,3
Thành phố Huế,Phường Hương Long,Tổ dân phố 6,3
Thành phố Huế,Phường Hương Long,Tổ dân phố 7,3
Thành phố Huế,Phường Hương Long,Tổ dân phố 8,3
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 2,1
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 10,1
Thành phố Huế,Phường Hương Sơ,Tổ dân phố 4,2
